Player,Matched_Sentence
Shaquille O'Neal,"Shaquille Rashaun O'Neal was born on March 6, 1972, in Newark, New Jersey, to Lucille O'Neal and Joe Toney, who played high school basketball (he was an All-State guard) and was offered a basketball scholarship to play at Seton Hall."
Shaquille O'Neal,"Another question in the poll asked whether O'Neal was worth $115 million, in reference to the amount of the Magic's offer; 91.3% of the response said it was not."
Shaquille O'Neal,"In August 2005, O'Neal signed a 5-year-extension with the Heat for $100 million."
Shaquille O'Neal,"They contended that O'Neal was worth more than $20 million per year, particularly given that lesser players earned almost the same amount."
Shaquille O'Neal,"On March 2, 2005, O'Neal was given an honorary U.S. Deputy Marshal title and named the spokesman for the Safe Surfin' Foundation; he served an honorary role on the task force of the same name, which tracks down sexual predators who target children on the Internet."
Shaquille O'Neal,"As of 2022, O'Neal was among the five wealthiest NBA players, with a net worth of $400 million."
Shaquille O'Neal,"In June 2025, O'Neal settled the FTX-related lawsuit against him, agreeing to pay $1.8 million."
Shaquille O'Neal,"In 2016, O'Neal purchased a 14.3-acre, two-house compound in McDonough, Georgia, for $1.15 million."
Shaquille O'Neal,O'Neal turned down a $40 million deal with Reebok after hearing a mother complain about how expensive his shoes were.
Shaquille O'Neal,"In July 2023, O'Neal purchased his first private jet, a $27 million Bombardier Challenger 650, complete with the iconic ""Dunkman"" logo on the tail."
Stephen Curry,He also joined LeBron James and Kevin Durant as the only players in history to amass $500 million in career earnings.
Stephen Curry,"In July 2019, Curry bought a $31 million home in Atherton, California."
Stephen Curry,"Memorabilia associated with Curry is highly sought after; his 2009 rookie card ranks among the most expensive sports cards of all-time and was, at the time, the most expensive basketball card ever sold, purchased by Alt Fund II for a record $5.9 million in July 2021, later being surpassed by a Michael Jordan and Kobe Bryant card that was sold for $12.9 million in August 2025."
Stephen Curry,"Forbes listed him among the 10 highest-paid athletes in the world every year between 2018 and 2025, and ranked him second in 2025 (estimated income $156 million; only behind Cristiano Ronaldo)."
Stephen Curry,"He has also been included in every annual ranking of the highest-paid athletes by Sportico since its induction in 2021, and was rated the second highest-paid athlete of 2024 with estimated earnings of $153.8 million."
Stephen Curry,"Since 2018, Curry has served as the chief executive officer of Thirty Ink, a San Francisco-based company that works to provide equitable opportunities to people through brand, media, experiences, and philanthropy, as the four major verticals."
Stephen Curry,"In 2012, Curry started donating three insecticide-treated mosquito nets for every three-pointer he made to the United Nations Foundation's Nothing But Nets campaign to combat malaria."
Stephen Curry,"Following his MVP award win and historic 2015–16 season, Curry donated his prize vehicle—a 2016 Kia Sorento—to the East Oakland Youth Development Center, a local non-profit organization located in the backyard of Oracle Arena."
Stephen Curry,"The shoes sold for $58,100 after 113 bids, with the money being donated for STEM education initiatives."
Stephen Curry,"Foundation in Oakland, California."
Stephen Curry,"By 2023, the Foundation had provided 25 million meals, renovated 12 play areas and invested $6 million in literacy programs."
Stephen Curry,"Since its inception, the foundation has raised and invested over $75 million to narrow the literacy gap in the city's underserved communities, provide access to nutritious meals, and remodel physical education spaces to improve children's well-being."
Stephen Curry,"In May 2025, Curry and his wife were named in Time's inaugural list of the most influential people in philanthropy."
Steve Nash,"Nash grew up playing several sports, and after a successful high school basketball career in British Columbia, earned a scholarship to Santa Clara University in California."
Steve Nash,Nash received a scholarship by Santa Clara for the 1992–93 season.
Steve Nash,"Cuban wanted to build his franchise around the younger Nowitzki and did not want to risk signing the 30-year-old Nash to a long-term deal, and offered Nash a four-year deal worth about $9 million annually, with a fifth year partially guaranteed."
Steve Nash,"On 5 January 2016, it was announced that Nash was part of a group who purchased a $21 million stake in La Liga club Mallorca."
Steve Nash,"In 2001, Nash founded the Steve Nash Foundation."
Steve Nash,"Through grants to public service and nonprofit entities, the foundation aims to foster health in kids by funding projects that provide services to children affected by poverty, illness, abuse, or neglect, and create opportunities for education, play, and empowerment."
Steve Nash,The foundation was awarded the Steve Patterson Award for Excellence in Sports Philanthropy in 2008.
Steve Nash,"The charity event reportedly raised 2.5 million dollars, earmarked for Chinese children in need."
Steve Nash,"On 18 September 2009, he was awarded an honorary Doctor of Laws degree from the University of Victoria for his athletic achievements and philanthropic work on the behalf of young people through the Steve Nash Foundation."
Steve Nash,"Nash also co-hosted Showdown in Chinatown in 2008, an 8-on-8 charity soccer game held at Sara D. Roosevelt Park."
Steve Nash,"Nash and a Montreal-based partner, Leonard Schlemm, opened the first Steve Nash Sports Club in the spring of 2007 in downtown Vancouver, a high-end, $5 million, 38,500-square-foot (3,580 m2) facility that will mirror Nash's own fitness philosophy."
Steve Nash,"The first creative effort to come from Meathawk was a 91-second commercial, titled ""The Sixty Million Dollar Man"", for Nike's eco-friendly Trash Talk shoe, the first high-performance shoe to be made—at the behest of the environmentally conscious Nash—from recycled materials."
Steve Nash,It is a spoof remake of the title sequence of the American television series The Six Million Dollar Man and plays on Nash's numerous on-court collisions.
Tim Duncan,"Eventually, despite scholarship offers by the University of Hartford, the University of Delaware, and Providence College, Duncan joined Odom's Wake Forest Demon Deacons."
Tim Duncan,"On June 23, 2014, Duncan exercised his $10.3 million player option for the 2014–15 season."
Tim Duncan,"In 2001, Duncan established the Tim Duncan Foundation to fund programs involving health awareness and research, education, and youth sports and recreation in San Antonio, Winston-Salem, and the United States Virgin Islands."
Tim Duncan,The foundation's major events have included the Tim Duncan Bowling for Dollar$ Charity Bowl-A-Thon and the Slam Duncan Charity Golf Classic.
Tim Duncan,"Between 2001 and 2002, the foundation raised more than $350,000 for breast and prostate cancer research."
Tim Duncan,"In August 2017, BlackJack Speed Shop, in partnership with The Tim Duncan Foundation, organized urgently needed supplies for victims of Hurricane Harvey."
Tim Duncan,"In 2015, Duncan sued his former investment adviser Charles Banks, claiming over $20 million in losses."
Tim Duncan,"In April 2017, Banks pled guilty to wire fraud in the case; in June 2018, Duncan reached a settlement with Banks and received $7.5 million."
Walt Frazier,"Although he was offered other scholarships for his football skills, Frazier accepted a basketball offer from Southern Illinois University, saying that ""there were no black quarterbacks, so I played basketball."""
Wilt Chamberlain,"The players were split on Chamberlain, who was seen as competent but often indifferent, and was more occupied with promotion of his autobiography Wilt: Just Like Any Other 7-Foot Black Millionaire Who Lives Next Door, than with coaching."
Wilt Chamberlain,"Chamberlain was basketball's first player to earn at least $100,000 a year; and he earned an unprecedented $1.5 million during his Lakers years."
Wilt Chamberlain,"When he became a Laker, Chamberlain built a million-dollar mansion in Bel-Air and named it after Ursa Major, a play on his nickname ""The Big Dipper""."
Wilt Chamberlain,"Following his death in 1999, Chamberlain's estate was valued at $25 million."
